ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,2.34608,,,,,,,,,,,,,6016e5fd-dda6-41ce-818d-00032f6df808,970,,,"[60.1, 45.9]",3893827,24,,,,-0.40016565,,Right Foot,,,"[103.6, 27.5]",,High Pass,,47.231453,,,,Lieke Martens,10649.0,,,,,,,1,Regular Play,Stephanie van der Gragt,10647.0,Center Back,51,Netherlands Women's,851,['0631ac08-7454-4538-8b8c-9427a3d3a9a6'],22,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:24:22.282,Pass,
,,,,,,,,,,,,,,0.692343,,,,,,,,,,,,,3113fee1-4a58-4315-b98e-3d4e30b5783b,974,,,"[15.7, 52.6]",3893827,24,,,,1.5232133,,Left Foot,,,"[15.9, 56.8]",,Ground Pass,,4.204759,,,,Thu Thảo Trần Thị,401877.0,,,,,,Recovery,1,Regular Play,Thu Thương Lương Thị,401875.0,Right Center Back,52,Vietnam Women's,16769,['b4fd6204-e0c7-4b8e-a3f4-db8c73c636e2'],25,,,,,,,,,,,,,,,,,Vietnam Women's,16769,00:24:25.095,Pass,
,,,,,,,,,,,,,,1.365681,,,,,,,,,,,,,4fa87d15-f31e-4849-8df1-4c93963a884f,977,,,"[14.6, 57.7]",3893827,24,,,,0.070715226,,Right Foot,,,"[38.6, 59.4]",,High Pass,,24.060133,,,,Bích Thùy Nguyễn Thị,401878.0,,,,,,,1,Regular Play,Thu Thảo Trần Thị,401877.0,Right Wing Back,52,Vietnam Women's,16769,['dcfc73b6-494f-4935-8813-551d70425564'],27,,,,,,,,,,,,,,,,,Vietnam Women's,16769,00:24:27.033,Pass,
,,,,,,,,,,,,,,0.983605,,,,,,,,,,,,,d3904671-4b84-4702-a588-dfa9acd41ec0,981,,,"[37.3, 56.6]",3893827,24,,,,-1.8985348,,Right Foot,,,"[33.9, 46.6]",,Ground Pass,,10.562197,,,,Thị Vân Dương,401884.0,,,,,,,1,Regular Play,Bích Thùy Nguyễn Thị,401878.0,Right Wing,52,Vietnam Women's,16769,"['99d3b9a5-51d6-42c0-9c76-3c825c3fe1e5', 'a4a10f53-9727-4469-be9d-ab26d11a84b5']",30,,,,,,,,,,,,,,,,,Vietnam Women's,16769,00:24:30.305,Pass,True
,,,,,,,,,,,,,,2.248387,,,,,,,,,,,,,ff711eed-6b68-4d98-ba84-d7e0b209d36b,984,,,"[33.9, 46.6]",3893827,24,,,,0.55033,,Left Foot,,,"[63.4, 64.7]",,High Pass,,34.610115,,,,Hải Yến Phạm,401890.0,,,,,,,1,Regular Play,Thị Vân Dương,401884.0,Right Defensive Midfield,52,Vietnam Women's,16769,['2180a290-467a-451d-978e-07e34db73815'],31,,,,,,,,,,,,,,,,,Vietnam Women's,16769,00:24:31.329,Pass,
,,,,,,,,,,,,,,1.944966,,,,,,,,,,,,,720f3784-6d46-4b19-be58-67c89bb0436e,989,,,"[64.2, 65.0]",3893827,24,,,,-2.3157542,,Right Foot,,,"[55.9, 56.0]",,Ground Pass,,12.242957,,Incomplete,,Bích Thùy Nguyễn Thị,401878.0,,,,,,,1,Regular Play,Hải Yến Phạm,401890.0,Center Forward,52,Vietnam Women's,16769,"['69153a08-1a4b-4356-b3c6-a95f58c44cac', 'd5160774-c659-4944-a5ef-c8e280c8f1ff', 'e57328f9-12c8-4a95-9ccc-f8d9c481cdea']",35,,,,,,,,,,,,,,,,,Vietnam Women's,16769,00:24:35.816,Pass,True
,,,,,,,,,,,,,,1.090252,,,,,,,,,,,,,91f4de0a-81dc-4718-8820-716c2c4017b1,993,,,"[67.2, 23.7]",3893827,24,,,,-0.015265989,,Right Foot,,,"[80.3, 23.5]",,Ground Pass,,13.101526,,,,Lieke Martens,10649.0,,,,,,,1,Regular Play,Danielle van de Donk,10658.0,Left Center Midfield,53,Netherlands Women's,851,['dc1c75bc-f234-4bd2-9341-b97b94dbf8be'],39,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:24:39.103,Pass,
,,,,,,,,,,,,,,1.258177,,,,,,,,,,,,,e51b3c1a-be79-4714-a842-79d5af081da0,996,,,"[83.5, 28.2]",3893827,24,,,,1.8617036,,Right Foot,,,"[78.5, 44.9]",,Ground Pass,,17.432442,,,,Jill Roord,10650.0,,,,,,,1,Regular Play,Lieke Martens,10649.0,Left Center Forward,53,Netherlands Women's,851,['f04a53ab-0ea3-4c7f-972b-52adacbd25fe'],42,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:24:42.686,Pass,
,,,,,,,,,,,,,,1.918946,,,,,,,,,,,,,b80407f6-0787-4d4f-9fab-4137a7e86ae4,999,,,"[77.0, 48.7]",3893827,24,,,,3.1031501,,Right Foot,,,"[64.0, 49.2]",,Ground Pass,,13.009612,,,,Sherida Spitse,10645.0,,,,,,,1,Regular Play,Jill Roord,10650.0,Right Center Midfield,53,Netherlands Women's,851,['ece144a1-d23a-4c5d-9418-2a90a1a50f8c'],45,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:24:45.642,Pass,
,,,,,,,,,,,,,,1.206581,,,,,,,,,,,,,8df597b6-49df-4aa5-a460-df67262c1871,1002,,,"[64.0, 49.2]",3893827,24,,,,-0.58075637,,Left Foot,,,"[73.6, 42.9]",,Ground Pass,,11.482595,,,,Jackie Groenen,10654.0,,,,,,,1,Regular Play,Sherida Spitse,10645.0,Right Center Back,53,Netherlands Women's,851,['7b2ee84f-dc83-4b2c-84cb-4140e8dfd794'],49,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:24:49.162,Pass,
